id_avis,date,source,produit,texte,texte_clean,texte_final,sentiment,note,langue
AV0307,2026-02-08,réseaux_sociaux,Tablette TabPlus,"Je viens de recevoir le produit, à voir dans le temps. https://example.com/commande/307",Je viens de recevoir le produit à voir dans le temps,vien recevoir produit voir temp,neutre,3,fr
AV0310,2026-07-23,web,Tablette TabPlus,Service client réactif et commande reçue rapidement. 😊,Service client réactif et commande reçue rapidement,servic client réactif command reçu rapid,positif,4,fr
AV0312,2026-01-09,réseaux_sociaux,Ordinateur NovaBook,La  livraison  s'est  déroulée  normalement.,La livraison s est déroulée normalement,livraison déroul normal,neutre,3,fr
AV0314,2026-08-12,web,Ordinateur NovaBook,"Je viens de recevoir le produit, à voir dans le temps. https://example.com/commande/314",Je viens de recevoir le produit à voir dans le temps,vien recevoir produit voir temp,neutre,3,fr
AV0319,2026-03-31,réseaux_sociaux,Ordinateur NovaBook,La batterie tient vraiment bien et l'écran est superbe. https://example.com/commande/319,La batterie tient vraiment bien et l écran est superbe,batter tient vrai bien écran superb,positif,5,fr
AV0322,2026-02-24,mobile,Tablette TabPlus,Le produit ne fonctionne déjà plus. https://example.com/commande/322,Le produit ne fonctionne déjà plus,produit ne fonction déjà plus,negatif,2,fr
AV0330,2026-06-14,réseaux_sociaux,Tablette TabPlus,"Très bonne expérience, simple et efficace. https://example.com/commande/330",Très bonne expérience simple et efficace,tres bon expérient simpl efficac,positif,5,fr
AV0331,2026-03-11,mobile,SmartPhone X,"Produit parfait, rien à signaler. https://example.com/commande/331",Produit parfait rien à signaler,produit parf rien signal,positif,5,fr
AV0333,2026-07-31,sav,Tablette TabPlus,Produit excellent !!! 😍😍😍,Produit excellent !,produit excellent !,positif,5,fr
AV0336,2026-06-17,email,Ordinateur NovaBook,Très déçu par ce produit. 😊,Très déçu par ce produit,tres déçu produit,negatif,2,fr
AV0341,2026-05-16,email,SmartPhone X,"Je viens de recevoir le produit, à voir dans le temps. https://example.com/commande/341",Je viens de recevoir le produit à voir dans le temps,vien recevoir produit voir temp,neutre,3,fr
AV0344,2026-01-24,réseaux_sociaux,Écouteurs AirSound,Très satisfait de mon achat 👍 https://example.com/commande/344,Très satisfait de mon achat,tres satisf achat,positif,5,fr
AV0345,2026-04-17,sav,Tablette TabPlus,La livraison s'est déroulée normalement.,La livraison s est déroulée normalement,livraison déroul normal,neutre,3,fr
AV0348,2026-01-09,email,Écouteurs AirSound,"Très bon produit, la qualité est au rendez-vous. https://example.com/commande/348",Très bon produit la qualité est au rendez vous,tres bon produit qualit rend,positif,4,fr
AV0353,2026-07-30,mobile,SmartPhone Y,"Je viens de recevoir le produit, à voir dans le temps. #avis",Je viens de recevoir le produit à voir dans le temps avis,vien recevoir produit voir temp avis,neutre,3,fr
AV0364,2026-05-23,réseaux_sociaux,SmartPhone Y,Le service client n'a pas répondu à ma demande. #avis,Le service client n a pas répondu à ma demande avis,servic client a pas répondu demand avis,negatif,2,fr
AV0367,2026-02-18,réseaux_sociaux,Ordinateur NovaBook,LE PRODUIT CORRESPOND GLOBALEMENT À LA DESCRIPTION.,LE PRODUIT CORRESPOND GLOBALEMENT À LA DESCRIPTION,produit correspond global descript,neutre,4,fr
AV0371,2026-05-17,email,SmartWatch Pro,Service client réactif et commande reçue rapidement. https://example.com/commande/371,Service client réactif et commande reçue rapidement,servic client réactif command reçu rapid,positif,5,fr
AV0373,2026-01-12,réseaux_sociaux,SmartPhone Y,"Mauvaise expérience, je ne recommande pas. #avis",Mauvaise expérience je ne recommande pas avis,mauvais expérient ne recommand pas avis,negatif,2,fr
AV0377,2026-04-28,mobile,Ordinateur NovaBook,La qualité est correcte sans être exceptionnelle. https://example.com/commande/377,La qualité est correcte sans être exceptionnelle,qualit correct san être exceptionnel,neutre,3,fr
AV0381,2026-06-18,sav,SmartPhone X,Très satisfait de mon achat 👍 https://example.com/commande/381,Très satisfait de mon achat,tres satisf achat,positif,4,fr
AV0383,2026-01-28,web,Tablette TabPlus,Le service client n'a pas répondu à ma demande. !!!,Le service client n a pas répondu à ma demande !,servic client a pas répondu demand !,negatif,1,fr
AV0387,2026-01-15,web,Ordinateur NovaBook,"Produit parfait, rien à signaler. https://example.com/commande/387",Produit parfait rien à signaler,produit parf rien signal,positif,5,fr
AV0389,2026-03-11,web,SmartPhone X,La livraison a été très longue. https://example.com/commande/389,La livraison a été très longue,livraison a tres longu,negatif,1,fr
AV0391,2026-08-26,web,SmartWatch Pro,"Produit reçu endommagé, je suis mécontent. #avis",Produit reçu endommagé je suis mécontent avis,produit reçu endommag mécontent avis,negatif,2,fr
AV0400,2026-05-23,réseaux_sociaux,Tablette TabPlus,Service client réactif et commande reçue rapidement. https://example.com/commande/400,Service client réactif et commande reçue rapidement,servic client réactif command reçu rapid,positif,5,fr
AV0406,2026-07-04,sav,Tablette TabPlus,Produit  correct  pour  son  prix.,Produit correct pour son prix,produit correct prix,neutre,3,fr
AV0408,2026-03-27,sav,Ordinateur NovaBook,La batterie tient vraiment bien et l'écran est superbe. https://example.com/commande/408,La batterie tient vraiment bien et l écran est superbe,batter tient vrai bien écran superb,positif,5,fr
AV0409,2026-06-04,mobile,Écouteurs AirSound,@client Le produit ne fonctionne déjà plus.,Le produit ne fonctionne déjà plus,produit ne fonction déjà plus,negatif,1,fr
AV0413,2026-07-24,email,Ordinateur NovaBook,La livraison a été très longue. https://example.com/commande/413,La livraison a été très longue,livraison a tres longu,negatif,2,fr
AV0415,2026-01-19,sav,Tablette TabPlus,Service client réactif et commande reçue rapidement. #avis,Service client réactif et commande reçue rapidement avis,servic client réactif command reçu rapid avis,positif,5,fr
AV0423,2026-03-31,sav,SmartPhone X,"Produit parfait, rien à signaler. https://example.com/commande/423",Produit parfait rien à signaler,produit parf rien signal,positif,5,fr
AV0427,2026-06-13,sav,Écouteurs AirSound,La livraison s'est déroulée normalement. !!!,La livraison s est déroulée normalement !,livraison déroul normal !,neutre,4,fr
AV0429,2026-07-24,réseaux_sociaux,SmartPhone Y,"TRÈS BON PRODUIT, LA QUALITÉ EST AU RENDEZ-VOUS.",TRÈS BON PRODUIT LA QUALITÉ EST AU RENDEZ VOUS,tres bon produit qualit rend,positif,5,fr
AV0435,2026-06-12,réseaux_sociaux,Ordinateur NovaBook,Livraison rapide et produit conforme à mes attentes. https://example.com/commande/435,Livraison rapide et produit conforme à mes attentes,livraison rapid produit conform attent,positif,5,fr
AV0436,2026-03-15,mobile,SmartPhone Y,"Produit reçu endommagé, je suis mécontent. https://example.com/commande/436",Produit reçu endommagé je suis mécontent,produit reçu endommag mécontent,negatif,1,fr
AV0439,2026-05-06,mobile,SmartPhone X,La qualité est correcte sans être exceptionnelle. https://example.com/commande/439,La qualité est correcte sans être exceptionnelle,qualit correct san être exceptionnel,neutre,3,fr
AV0441,2026-05-21,réseaux_sociaux,SmartPhone X,Très satisfait de mon achat 👍 https://example.com/commande/441,Très satisfait de mon achat,tres satisf achat,positif,5,fr
AV0444,2026-03-31,web,Écouteurs AirSound,CE PRODUIT EST VRAIMENT EXCELLENT,CE PRODUIT EST VRAIMENT EXCELLENT,produit vrai excellent,negatif,1,fr
AV0453,2026-03-25,réseaux_sociaux,SmartPhone X,Qualité décevante pour ce prix. https://example.com/commande/453,Qualité décevante pour ce prix,qualit décev prix,negatif,2,fr
AV0454,2026-06-12,email,SmartPhone X,La batterie se décharge beaucoup trop vite. https://example.com/commande/454,La batterie se décharge beaucoup trop vite,batter décharg beaucoup trop vit,negatif,2,fr
AV0455,2026-07-31,mobile,Écouteurs AirSound,La livraison s'est déroulée normalement. #avis,La livraison s est déroulée normalement avis,livraison déroul normal avis,neutre,3,fr
AV0458,2026-01-01,sav,SmartPhone Y,Excellent rapport qualité-prix. https://example.com/commande/458,Excellent rapport qualité prix,excellent rapport qualit prix,positif,5,fr
AV0464,2026-01-19,mobile,Écouteurs AirSound,"Produit reçu endommagé, je suis mécontent. https://example.com/commande/464",Produit reçu endommagé je suis mécontent,produit reçu endommag mécontent,negatif,2,fr
AV0468,2026-08-09,mobile,SmartPhone X,"Je viens de recevoir le produit, à voir dans le temps. https://example.com/commande/468",Je viens de recevoir le produit à voir dans le temps,vien recevoir produit voir temp,neutre,3,fr
AV0469,2026-03-31,sav,SmartWatch Pro,La batterie se décharge beaucoup trop vite. #avis,La batterie se décharge beaucoup trop vite avis,batter décharg beaucoup trop vit avis,negatif,1,fr
AV0482,2026-03-30,réseaux_sociaux,Tablette TabPlus,Livraison rapide et produit conforme à mes attentes. https://example.com/commande/482,Livraison rapide et produit conforme à mes attentes,livraison rapid produit conform attent,positif,4,fr
AV0485,2026-03-09,réseaux_sociaux,Ordinateur NovaBook,"JE VIENS DE RECEVOIR LE PRODUIT, À VOIR DANS LE TEMPS.",JE VIENS DE RECEVOIR LE PRODUIT À VOIR DANS LE TEMPS,vien recevoir produit voir temp,neutre,3,fr
AV0487,2026-08-17,réseaux_sociaux,Ordinateur NovaBook,"TRÈS BONNE EXPÉRIENCE, SIMPLE ET EFFICACE.",TRÈS BONNE EXPÉRIENCE SIMPLE ET EFFICACE,tres bon expérient simpl efficac,positif,5,fr
AV0490,2026-03-24,mobile,Écouteurs AirSound,Le  service  client  n'a  pas  répondu  à  ma  demande.,Le service client n a pas répondu à ma demande,servic client a pas répondu demand,negatif,1,fr
AV0496,2026-01-02,sav,SmartPhone X,La livraison a été très longue. !!!,La livraison a été très longue !,livraison a tres longu !,negatif,1,fr
AV0508,2026-08-07,sav,Tablette TabPlus,Le produit correspond globalement à la description. #avis,Le produit correspond globalement à la description avis,produit correspond global descript avis,neutre,3,fr
AV0509,2026-01-27,mobile,SmartPhone X,Le produit correspond globalement à la description. https://example.com/commande/509,Le produit correspond globalement à la description,produit correspond global descript,neutre,3,fr
AV0516,2026-04-16,réseaux_sociaux,Écouteurs AirSound,"Très bonne expérience, simple et efficace. https://example.com/commande/516",Très bonne expérience simple et efficace,tres bon expérient simpl efficac,positif,5,fr
AV0518,2026-07-23,web,Écouteurs AirSound,La livraison a été trèèès longue.,La livraison a été trèèès longue,livraison a trèèes longu,negatif,2,fr
AV0533,2026-06-04,email,Tablette TabPlus,Très déçu par ce produit. !!!,Très déçu par ce produit !,tres déçu produit !,negatif,2,fr
AV0537,2026-07-07,sav,SmartPhone Y,L'utilisation est assez simple. https://example.com/commande/537,L utilisation est assez simple,utilis assez simpl,neutre,3,fr
AV0538,2026-05-20,sav,SmartPhone X,@client Le service client n'a pas répondu à ma demande.,Le service client n a pas répondu à ma demande,servic client a pas répondu demand,negatif,2,fr
AV0542,2026-06-30,web,Écouteurs AirSound,"Mauvaise expérience, je ne recommande pas. https://example.com/commande/542",Mauvaise expérience je ne recommande pas,mauvais expérient ne recommand pas,negatif,1,fr
AV0550,2026-01-12,email,Écouteurs AirSound,"Produit reçu endommagé, je suis mécontent. https://example.com/commande/550",Produit reçu endommagé je suis mécontent,produit reçu endommag mécontent,negatif,2,fr
AV0553,2026-05-27,mobile,Écouteurs AirSound,"Je viens de recevoir le produit, à voir dans le temps. https://example.com/commande/553",Je viens de recevoir le produit à voir dans le temps,vien recevoir produit voir temp,neutre,3,fr
AV0555,2026-07-13,sav,SmartPhone Y,Pas bon,Pas bon,pas bon,neutre,4,fr
AV0559,2026-08-23,web,Ordinateur NovaBook,"Produit parfait, rien à signaler. https://example.com/commande/559",Produit parfait rien à signaler,produit parf rien signal,positif,5,fr
AV0573,2026-02-15,sav,Tablette TabPlus,Excellent rapport qualité-prix. https://example.com/commande/573,Excellent rapport qualité prix,excellent rapport qualit prix,positif,5,fr
AV0582,2026-03-08,email,SmartPhone Y,"Mauvaise expérience, je ne recommande pas. 😊",Mauvaise expérience je ne recommande pas,mauvais expérient ne recommand pas,negatif,2,fr
AV0593,2026-02-06,email,Ordinateur NovaBook,Le service client n'a pas répondu à ma demande. https://example.com/commande/593,Le service client n a pas répondu à ma demande,servic client a pas répondu demand,negatif,2,fr
AV0602,2026-04-02,mobile,SmartPhone Y,La batterie tient vraiment bien et l'écran est superbe. https://example.com/commande/602,La batterie tient vraiment bien et l écran est superbe,batter tient vrai bien écran superb,positif,5,fr
AV0604,2026-02-01,email,Ordinateur NovaBook,"Je viens de recevoir le produit, à voir dans le temps. !!!",Je viens de recevoir le produit à voir dans le temps !,vien recevoir produit voir temp !,neutre,4,fr
AV0613,2026-02-08,web,Tablette TabPlus,"Je viens de recevoir le produit, à voir dans le temps. https://example.com/commande/613",Je viens de recevoir le produit à voir dans le temps,vien recevoir produit voir temp,neutre,3,fr
AV0616,2026-01-25,web,SmartPhone X,L'UTILISATION EST ASSEZ SIMPLE.,L UTILISATION EST ASSEZ SIMPLE,utilis assez simpl,neutre,3,fr
AV0621,2026-02-16,réseaux_sociaux,Écouteurs AirSound,Très satisfait de mon achat 👍 https://example.com/commande/621,Très satisfait de mon achat,tres satisf achat,positif,5,fr
AV0627,2026-08-07,sav,SmartPhone Y,"Produit parfait, rien à signaler. https://example.com/commande/627",Produit parfait rien à signaler,produit parf rien signal,positif,5,fr
AV0630,2026-04-25,email,SmartPhone X,Le produit correspond globalement à la description. https://example.com/commande/630,Le produit correspond globalement à la description,produit correspond global descript,neutre,3,fr
AV0634,2026-07-03,email,Ordinateur NovaBook,"Je viens de recevoir le produit, à voir dans le temps. https://example.com/commande/634",Je viens de recevoir le produit à voir dans le temps,vien recevoir produit voir temp,neutre,3,fr
AV0638,2026-07-31,mobile,Ordinateur NovaBook,"Je recommande vivement, tout fonctionne parfaitement. https://example.com/commande/638",Je recommande vivement tout fonctionne parfaitement,recommand viv tout fonction parfait,positif,5,fr
AV0640,2026-01-02,réseaux_sociaux,Ordinateur NovaBook,La livraison s'est déroulée normalement. https://example.com/commande/640,La livraison s est déroulée normalement,livraison déroul normal,neutre,4,fr
AV0648,2026-05-30,réseaux_sociaux,Ordinateur NovaBook,"Produit parfait, rien à signaler. https://example.com/commande/648",Produit parfait rien à signaler,produit parf rien signal,positif,5,fr
AV0655,2026-08-01,mobile,Ordinateur NovaBook,"Je recommande vivement, tout fonctionne parfaitement. https://example.com/commande/655",Je recommande vivement tout fonctionne parfaitement,recommand viv tout fonction parfait,positif,5,fr
AV0657,2026-02-15,web,SmartPhone Y,Produit correct pour son prix. https://example.com/commande/657,Produit correct pour son prix,produit correct prix,neutre,3,fr
AV0666,2026-04-08,web,Écouteurs AirSound,"Le produit est bien, mais la livraison a été longue. Le produit est bien, mais la livraison a été longue. Le produit est bien, mais la livraison a été longue. Le produit est bien, mais la livraison a été longue. Le produit est bien, mais la livraison a été longue. Le produit est bien, mais la livraison a été longue. Le produit est bien, mais la livraison a été longue. Le produit est bien, mais la livraison a été longue. Le produit est bien, mais la livraison a été longue. Le produit est bien, mais la livraison a été longue. Le produit est bien, mais la livraison a été longue. Le produit est bien, mais la livraison a été longue. ",Le produit est bien mais la livraison a été longue Le produit est bien mais la livraison a été longue Le produit est bien mais la livraison a été longue Le produit est bien mais la livraison a été longue Le produit est bien mais la livraison a été longue Le produit est bien mais la livraison a été longue Le produit est bien mais la livraison a été longue Le produit est bien mais la livraison a été longue Le produit est bien mais la livraison a été longue Le produit est bien mais la livraison a été longue Le produit est bien mais la livraison a été longue Le produit est bien mais la livraison a été longue,produit bien livraison a longu produit bien livraison a longu produit bien livraison a longu produit bien livraison a longu produit bien livraison a longu produit bien livraison a longu produit bien livraison a longu produit bien livraison a longu produit bien livraison a longu produit bien livraison a longu produit bien livraison a longu produit bien livraison a longu,positif,5,fr
AV0677,2026-04-08,sav,Ordinateur NovaBook,"Très bonne expérience, simple et efficace. https://example.com/commande/677",Très bonne expérience simple et efficace,tres bon expérient simpl efficac,positif,4,fr
AV0686,2026-04-26,email,Tablette TabPlus,La batterie tient vraiment bien et l'écran est superbe. https://example.com/commande/686,La batterie tient vraiment bien et l écran est superbe,batter tient vrai bien écran superb,positif,5,fr
AV0690,2026-04-25,email,SmartWatch Pro,L'utilisation est assez simple. https://example.com/commande/690,L utilisation est assez simple,utilis assez simpl,neutre,3,fr
AV0717,2026-06-18,mobile,Tablette TabPlus,"Très bon produit, la qualité est au rendez-vous. https://example.com/commande/717",Très bon produit la qualité est au rendez vous,tres bon produit qualit rend,positif,4,fr
AV0719,2026-07-22,sav,SmartWatch Pro,La livraison s'est déroulée normalement. https://example.com/commande/719,La livraison s est déroulée normalement,livraison déroul normal,neutre,3,fr
AV0732,2026-01-03,mobile,Ordinateur NovaBook,Qualité décevante pour ce prix. https://example.com/commande/732,Qualité décevante pour ce prix,qualit décev prix,negatif,1,fr
AV0741,2026-07-17,mobile,SmartWatch Pro,Service client réactif et commande reçue rapidement. https://example.com/commande/741,Service client réactif et commande reçue rapidement,servic client réactif command reçu rapid,positif,5,fr
AV0760,2026-02-04,réseaux_sociaux,Tablette TabPlus,L'utilisation est assez simple. https://example.com/commande/760,L utilisation est assez simple,utilis assez simpl,neutre,3,fr
AV0761,2026-05-24,réseaux_sociaux,SmartPhone X,Produit correct pour son prix. 😊,Produit correct pour son prix,produit correct prix,neutre,3,fr
AV0775,2026-01-08,web,Ordinateur NovaBook,"Produit parfait, rien à signaler. !!!",Produit parfait rien à signaler !,produit parf rien signal !,positif,5,fr
AV0776,2026-08-11,réseaux_sociaux,SmartWatch Pro,Excellent rapport qualité-prix. https://example.com/commande/776,Excellent rapport qualité prix,excellent rapport qualit prix,positif,5,fr
AV0777,2026-06-01,réseaux_sociaux,Écouteurs AirSound,Produit      correct    pour     son prix.,Produit correct pour son prix,produit correct prix,positif,5,fr
AV0781,2026-03-18,web,Écouteurs AirSound,Excellent rapport qualité-prix. https://example.com/commande/781,Excellent rapport qualité prix,excellent rapport qualit prix,positif,4,fr
AV0787,2026-02-18,email,SmartPhone X,"Très bonne expérience, simple et efficace. https://example.com/commande/787",Très bonne expérience simple et efficace,tres bon expérient simpl efficac,positif,5,fr
AV0796,2026-07-10,réseaux_sociaux,Tablette TabPlus,"Produit reçu endommagé, je suis mécontent.",Produit reçu endommagé je suis mécontent,produit reçu endommag mécontent,negatif,2,fr
AV0804,2026-06-30,sav,Tablette TabPlus,Le produit correspond globalement à la description. https://example.com/commande/804,Le produit correspond globalement à la description,produit correspond global descript,neutre,3,fr
AV0809,2026-07-04,web,Ordinateur NovaBook,@client La livraison a été très longue.,La livraison a été très longue,livraison a tres longu,negatif,2,fr
AV0822,2026-08-27,email,SmartWatch Pro,"Produit parfait, rien à signaler. https://example.com/commande/822",Produit parfait rien à signaler,produit parf rien signal,positif,5,fr
AV0825,2026-04-25,sav,SmartPhone X,"Mauvaise expérience, je ne recommande pas. https://example.com/commande/825",Mauvaise expérience je ne recommande pas,mauvais expérient ne recommand pas,negatif,2,fr
AV0831,2026-07-31,réseaux_sociaux,SmartPhone X,Livraison rapide et produit conforme à mes attentes. https://example.com/commande/831,Livraison rapide et produit conforme à mes attentes,livraison rapid produit conform attent,positif,5,fr
AV0839,2026-05-24,mobile,Écouteurs AirSound,Livraison rapide et produit conforme à mes attentes. https://example.com/commande/839,Livraison rapide et produit conforme à mes attentes,livraison rapid produit conform attent,positif,5,fr
AV0843,2026-06-09,mobile,Écouteurs AirSound,Très satisfait de mon achat 👍 https://example.com/commande/843,Très satisfait de mon achat,tres satisf achat,positif,5,fr
AV0846,2026-05-01,web,SmartWatch Pro,"Très bonne expérience, simple et efficace. https://example.com/commande/846",Très bonne expérience simple et efficace,tres bon expérient simpl efficac,positif,4,fr
AV0853,2026-02-20,réseaux_sociaux,Écouteurs AirSound,La batterie se décharge beaucoup trop vite. !!!,La batterie se décharge beaucoup trop vite !,batter décharg beaucoup trop vit !,negatif,2,fr
AV0868,2026-07-02,email,SmartPhone Y,"Je viens de recevoir le produit, à voir dans le temps. https://example.com/commande/868",Je viens de recevoir le produit à voir dans le temps,vien recevoir produit voir temp,neutre,3,fr
AV0871,2026-06-26,email,Écouteurs AirSound,Très satisfait de mon achat 👍 https://example.com/commande/871,Très satisfait de mon achat,tres satisf achat,positif,5,fr
AV0877,2026-08-01,sav,SmartPhone X,"Produit reçu endommagé, je suis mécontent. https://example.com/commande/877",Produit reçu endommagé je suis mécontent,produit reçu endommag mécontent,negatif,2,fr
AV0879,2026-06-01,mobile,Écouteurs AirSound,Livraison rapide et produit conforme à mes attentes. https://example.com/commande/879,Livraison rapide et produit conforme à mes attentes,livraison rapid produit conform attent,positif,4,fr
AV0887,2026-04-27,sav,Écouteurs AirSound,La livraison a été très longue. https://example.com/commande/887,La livraison a été très longue,livraison a tres longu,negatif,1,fr
AV0888,2026-03-13,réseaux_sociaux,Ordinateur NovaBook,très mauvais produit 😡😡 http://example.com @support #déception,très mauvais produit déception,tres mauv produit décept,positif,4,fr
AV0894,2026-02-04,web,Ordinateur NovaBook,Produit correct pour son prix. https://example.com/commande/894,Produit correct pour son prix,produit correct prix,neutre,3,fr
AV0897,2026-05-14,sav,Écouteurs AirSound,Livraison rapide et produit conforme à mes attentes. https://example.com/commande/897,Livraison rapide et produit conforme à mes attentes,livraison rapid produit conform attent,positif,5,fr
AV0909,2026-03-11,sav,SmartPhone X,"Mauvaise expérience, je ne recommande pas.",Mauvaise expérience je ne recommande pas,mauvais expérient ne recommand pas,negatif,2,fr
AV0910,2026-08-01,email,SmartPhone Y,La batterie tient vraiment bien et l'écran est superbe. https://example.com/commande/910,La batterie tient vraiment bien et l écran est superbe,batter tient vrai bien écran superb,positif,5,fr
AV0912,2026-08-20,réseaux_sociaux,SmartPhone Y,Très déçu par ce produit. https://example.com/commande/912,Très déçu par ce produit,tres déçu produit,negatif,2,fr
AV0916,2026-08-16,web,SmartPhone X,Produit correct pour son prix. https://example.com/commande/916,Produit correct pour son prix,produit correct prix,neutre,3,fr
AV0922,2026-01-13,mobile,SmartPhone X,"Produit parfait, rien à signaler. https://example.com/commande/922",Produit parfait rien à signaler,produit parf rien signal,positif,5,fr
AV0926,2026-03-21,sav,Écouteurs AirSound,"Très bon produit, la qualité est au rendez-vous. https://example.com/commande/926",Très bon produit la qualité est au rendez vous,tres bon produit qualit rend,positif,5,fr
AV0928,2026-05-05,web,SmartPhone X,La batterie tient vraiment bien et l'écran est superbe. https://example.com/commande/928,La batterie tient vraiment bien et l écran est superbe,batter tient vrai bien écran superb,positif,5,fr
AV0929,2026-08-05,mobile,SmartWatch Pro,Excellent rapport qualité-prix. https://example.com/commande/929,Excellent rapport qualité prix,excellent rapport qualit prix,positif,5,fr
AV0935,2026-01-30,réseaux_sociaux,Tablette TabPlus,La qualité est correcte sans être exceptionnelle. https://example.com/commande/935,La qualité est correcte sans être exceptionnelle,qualit correct san être exceptionnel,neutre,3,fr
AV0937,2026-06-15,web,SmartPhone X,La batterie tient vraiment bien et l'écran est superbe. https://example.com/commande/937,La batterie tient vraiment bien et l écran est superbe,batter tient vrai bien écran superb,positif,5,fr
AV0939,2026-02-20,mobile,Ordinateur NovaBook,Service client réactif et commande reçue rapidement. https://example.com/commande/939,Service client réactif et commande reçue rapidement,servic client réactif command reçu rapid,positif,5,fr
AV0946,2026-06-18,sav,SmartPhone Y,Livraison rapide et produit conforme à mes attentes. https://example.com/commande/946,Livraison rapide et produit conforme à mes attentes,livraison rapid produit conform attent,positif,4,fr
AV0950,2026-06-30,email,SmartPhone X,"Produit excellent, je suis très satisfait. https://example.com/commande/950",Produit excellent je suis très satisfait,produit excellent tres satisf,positif,4,FR
AV0953,2026-08-20,email,Tablette TabPlus,super produit!!!!!!!!!!!!!!!!!!!!!!!!,super produit!,sup produit !,positif,5,fr
AV0965,2026-03-19,sav,Ordinateur NovaBook,Service client réactif et commande reçue rapidement. https://example.com/commande/965,Service client réactif et commande reçue rapidement,servic client réactif command reçu rapid,positif,5,fr
AV0970,2026-04-29,mobile,Ordinateur NovaBook,La qualité est correcte sans être exceptionnelle. #avis,La qualité est correcte sans être exceptionnelle avis,qualit correct san être exceptionnel avis,neutre,3,fr
AV0977,2026-08-25,email,Écouteurs AirSound,La qualité est correcte sans être exceptionnelle. https://example.com/commande/977,La qualité est correcte sans être exceptionnelle,qualit correct san être exceptionnel,neutre,3,fr
AV0990,2026-06-28,sav,SmartPhone X,La livraison a été très longue. 😊,La livraison a été très longue,livraison a tres longu,negatif,2,fr
AV0994,2026-01-15,email,Ordinateur NovaBook,@client Très déçu par ce produit.,Très déçu par ce produit,tres déçu produit,negatif,1,fr
AV1003,2026-03-04,réseaux_sociaux,SmartPhone X,La livraison s'est déroulée normalement. https://example.com/commande/1003,La livraison s est déroulée normalement,livraison déroul normal,neutre,4,fr
AV1011,2026-02-15,mobile,Ordinateur NovaBook,L'utilisation est assez simple. https://example.com/commande/1011,L utilisation est assez simple,utilis assez simpl,neutre,4,fr
AV1024,2026-03-13,web,Ordinateur NovaBook,Qualité décevante pour ce prix. https://example.com/commande/1024,Qualité décevante pour ce prix,qualit décev prix,negatif,1,fr
AV1028,2026-05-07,mobile,SmartPhone X,Le produit correspond globalement à la description. https://example.com/commande/1028,Le produit correspond globalement à la description,produit correspond global descript,neutre,4,fr
AV1030,2026-06-21,email,SmartPhone Y,"Produit excellent, je suis très satisfait. https://example.com/commande/1030",Produit excellent je suis très satisfait,produit excellent tres satisf,positif,4,fr
AV1057,2026-08-18,email,Tablette TabPlus,"Très bonne expérience, simple et efficace. https://example.com/commande/1057",Très bonne expérience simple et efficace,tres bon expérient simpl efficac,positif,5,fr
AV1058,2026-03-28,web,Ordinateur NovaBook,La qualité est correcte sans être exceptionnelle. https://example.com/commande/1058,La qualité est correcte sans être exceptionnelle,qualit correct san être exceptionnel,neutre,4,fr
AV1065,2026-07-09,sav,Écouteurs AirSound,La livraison a été très longue. https://example.com/commande/1065,La livraison a été très longue,livraison a tres longu,negatif,1,fr
AV1067,2026-08-11,réseaux_sociaux,SmartWatch Pro,"Très bonne expérience, simple et efficace. https://example.com/commande/1067",Très bonne expérience simple et efficace,tres bon expérient simpl efficac,positif,5,fr
AV1073,2026-01-31,email,Écouteurs AirSound,La livraison a été très longue.,La livraison a été très longue,livraison a tres longu,negatif,2,fr
AV1074,2026-05-25,sav,SmartWatch Pro,"Mauvaise expérience, je ne recommande pas. https://example.com/commande/1074",Mauvaise expérience je ne recommande pas,mauvais expérient ne recommand pas,negatif,1,fr
AV1077,2026-01-14,email,SmartWatch Pro,"Mauvaise expérience, je ne recommande pas. !!!",Mauvaise expérience je ne recommande pas !,mauvais expérient ne recommand pas !,negatif,1,fr
AV1080,2026-07-31,email,SmartWatch Pro,@client Produit correct pour son prix.,Produit correct pour son prix,produit correct prix,neutre,4,fr
AV1085,2026-08-23,web,SmartPhone X,Service client réactif et commande reçue rapidement. https://example.com/commande/1085,Service client réactif et commande reçue rapidement,servic client réactif command reçu rapid,positif,4,fr
AV1101,2026-01-30,sav,SmartWatch Pro,Produit correct pour son prix. https://example.com/commande/1101,Produit correct pour son prix,produit correct prix,neutre,3,fr
AV1111,2026-06-23,web,SmartPhone Y,"Très bon produit, la qualité est au rendez-vous. https://example.com/commande/1111",Très bon produit la qualité est au rendez vous,tres bon produit qualit rend,positif,4,fr
AV1113,2026-07-22,sav,SmartPhone Y,"Je viens de recevoir le produit, à voir dans le temps. https://example.com/commande/1113",Je viens de recevoir le produit à voir dans le temps,vien recevoir produit voir temp,neutre,4,fr
AV1116,2026-03-22,sav,Écouteurs AirSound,Le service client n'a pas répondu à ma demande. https://example.com/commande/1116,Le service client n a pas répondu à ma demande,servic client a pas répondu demand,negatif,1,fr
AV1119,2026-06-18,réseaux_sociaux,Ordinateur NovaBook,La qualité est correcte sans être exceptionnelle. https://example.com/commande/1119,La qualité est correcte sans être exceptionnelle,qualit correct san être exceptionnel,neutre,4,fr
AV1142,2026-05-24,sav,Écouteurs AirSound,Excellent rapport qualité-prix. https://example.com/commande/1142,Excellent rapport qualité prix,excellent rapport qualit prix,positif,5,fr
